section,title,paper_url,data_url,code_url,demo_url,image,authors,venue_name,venue_url,description
data,CORAL Repo,https://github.com/CoRAL-ASU,,,,images/logo/coral-repo.png,,,,Public repositories that host code of our publications at CORAL Lab
data,ChartCheck: An Evidence-Based Fact-Checking Dataset over Real-World Chart Images,https://aclanthology.org/2024.findings-acl.828.pdf,,https://github.com/mubasharaak/ChartCheck,,poster_docs/ChartCheck_poster_placeholder.png,"Mubashara Akhtar, Nikesh Subedi, Vivek Gupta, Sahar Tahmasebi, Oana Cocarascu, Elena Simperl",ACL 2024 (Findings),https://2024.aclweb.org/,"Whilst fact verification has attracted substan tial interest in the natural language processing community, verifying misinforming statements against data visualizations such as charts has so far been overlooked. Charts are commonly used in the real-world to summarize and com municate key information, but they can also be easily misused to spread misinformation and promote certain agendas. In this paper, we introduce ChartCheck, a novel, large-scale dataset for explainable fact-checking against Chart: Evidence real-world charts, consisting of 1.7k charts and 10.5k human-written claims and explanations. We systematically..."
data,Enhancing Question Answering on Charts Through Effective Pre-training Tasks,https://aclanthology.org/2024.blackboxnlp-1.11.pdf,,,,poster_docs/Enhancing_Question_Answering_on_Charts_QA_poster_placeholder.png,"Ashim Gupta, Vivek Gupta, Shuo Zhang, Yujie He, Ning Zhang, Shalin Shah",BlackboxNLP 2024,https://blackboxnlp.github.io/,"To completely understand a document, the use of textual information is not enough. Under standing visual cues, such as layouts and charts, is also required. While the current state-of the-art approaches for document understanding (both OCR-based and OCR-free) work well, we have not found any other works conduct ing a thorough analysis of their capabilities and limitations. Therefore, in this work, we ad dress the limitation of current VisualQA mod els when applied to charts and plots. To in vestigate shortcomings of the state-of-the-art models, we conduct a comprehensive behav ioral analysis, using ChartQA as a case study. Our findings ..."
data,Enhancing Temporal Understanding in LLMs for Semi-structured Tables,https://aclanthology.org/2025.findings-naacl.278.pdf,,https://github.com/clear-temptabqa/clear_temptabqa,,poster_docs/CLEAR_poster.png,"Irwin Deng, Kushagra Dixit, Dan Roth, Vivek Gupta",NAACL 2025,https://2025.naacl.org/,"Temporal reasoning over tabular data presents substantial challenges for large language mod els (LLMs), as evidenced by recent research. In this study, we conduct a comprehensive analy sis of temporal datasets to pinpoint the specific limitations of LLMs. Our investigation leads to enhancements in TempTabQA, a benchmark specifically designed for tabular temporal ques tion answering. We provide critical insights for enhancing LLM performance in temporal reasoning tasks with tabular data. Furthermore, we introduce a novel approach, C.L.E.A.R to strengthen LLM capabilities in this domain. Our findings demonstrate that our method im proves evidence-based reasoning across various models. Additionally, our experimental..."
data,Evaluating Concurrent Robustness of Language Models Across Diverse Challenge Sets,https://aclanthology.org/2024.emnlp-main.1237.pdf,,https://github.com/msin-infotabs/Evaluating-Concurrent-Robustness-of-Language-Models-Across-Diverse-Challenge-Sets,,poster_docs/msin_poster.png,"Vatsal Gupta, Pranshu Pandya, Tushar Kataria, Vivek Gupta, Dan Roth",EMNLP 2024,https://2024.emnlp.org/,"Language models, characterized by their black box nature, often hallucinate and display sensitivity to input perturbations, causing concerns about trust. To enhance trust, it is imperative to gain a comprehensive understanding of the model’s failure modes and develop effective strategies to improve their performance. In this study, we introduce a methodology designed to examine how input perturbations affect language models across various scales, including pre-trained models and large language models (LLMs). Utilizing fine-tuning, we enhance the model’s robustness to input perturbations. Additionally, ..."
data,Evaluating LLMs' Mathematical Reasoning in Financial Document Question Answering,https://aclanthology.org/2024.findings-acl.231.pdf,,,,poster_docs/Evaluating_LM_Math_Reasoning_poster_placeholder.png,"Pragya Srivastava, Manuj Malik, Vivek Gupta, Tanuja Ganu, Dan Roth",ACL 2024 (Findings),https://2024.aclweb.org/,"Large Language Models excel at language understanding but their mathematical reasoning over complex financial tables and text is uncertain; this study benchmarks them on TATQA, FinQA, ConvFinQA, and Multihiertt to assess sensitivity to table complexity and arithmetic reasoning steps."
data,Federated Retrieval-Augmented Generation: A Systematic Mapping Study,https://aclanthology.org/2025.findings-emnlp.388.pdf,,,,poster_docs/Federated_RAG_Poster.png,"Abhijit Chakraborty, Chahana Dahal, Vivek Gupta",EMNLP 2025 (Findings),https://2025.emnlp.org/,Federated Retrieval-Augmented Generation (Federated RAG) combines federated learning with retrieval-augmented generation to ground outputs in external knowledge while keeping data private; this mapping study surveys Federated RAG work from 2020–2025 in privacy-sensitive domains.
data,FlowVQA: Mapping Multimodal Logic in Visual Question Answering with Flowcharts,https://aclanthology.org/2024.findings-acl.78.pdf,https://github.com/flowvqa/flowvqa,https://github.com/flowvqa,,poster_docs/FlowVQA_poster.png,"Shubhankar Singh, Purvi Chaurasia, Yerram Varun, Pranshu Pandya, Vatsal Gupta, Vivek Gupta, Dan Roth",ACL 2024 (Findings),https://2024.aclweb.org/,"Visual QA benchmark over 2,272 flowcharts and 22,413 Q&A pairs spanning factual, referential, and topological reasoning."
data,Follow the Flow: Fine-grained Flowchart Attribution with Neurosymbolic Agents,https://aclanthology.org/2025.emnlp-main.1144.pdf,,,,poster_docs/Follow_the_flow_placeholder.png,"Manan Suri, Puneet Mathur, Nedim Lipka, Franck Dernoncourt, Ryan A. Rossi, Vivek Gupta, Dinesh Manocha",EMNLP 2025,https://2025.emnlp.org/,"Fine-grained Flowchart Attribution traces flowchart components grounding LLM responses to reduce hallucinated connections; FlowPathAgent is a neurosymbolic agent that segments flowcharts and applies graph-based reasoning for verifiable, explainable answers."
data,GETReason: Enhancing Image Context Extraction through Hierarchical Multi-Agent Reasoning,https://aclanthology.org/2025.acl-long.1439.pdf,,https://github.com/CoRAL-ASU/getreason,,poster_docs/Getreason_poster.png,"Shikhhar Siingh, Abhinav Rawat, Chitta Baral, Vivek Gupta",ACL 2025,https://2025.aclweb.org/,"Publicly significant images from events carry valuable contextual information with applications in domains such as journalism and education. However, existing methodologies of ten struggle to accurately extract this contextual relevance from images. To address this challenge, we introduce GETREASON(Geospatial Event Temporal Reasoning), a framework designed to go beyond surface level image descriptions and infer deeper con textual meaning. We hypothesize that ex tracting global event, temporal, and geospa tial information from an image enables a more accurate understanding of its contex tual significance. We also introduce a new metric GREAT (Geospatial, Reasoning and Event Accuracy with Temporal alignment) for a reasoning capturing evaluation. Our lay ered multi-agentic approach, evaluated..."
data,H-STAR: LLM-driven Hybrid SQL-Text Adaptive Reasoning on Tables,https://aclanthology.org/2025.naacl-long.445.pdf,,https://github.com/nikhilsab/H-STAR,,poster_docs/HStar_poster.png,"Nikhil Abhyankar, Vivek Gupta, Dan Roth, Chandan Reddy",NAACL 2025,https://2025.naacl.org/,"Tabular reasoning involves interpreting natural language queries about tabular data, which presents a unique challenge of combining language understanding with structured data analysis. Existing methods employ either textual reasoning, which excels in semantic interpretation but struggles with mathematical operations, or symbolic reasoning, which handles computations well but lacks semantic understanding. This paper introduces a novel algorithm H-STAR that integrates both symbolic and semantic (textual) approaches in a two-stage process to address these limitations. H-STAR employs: (1) step-wise table extraction using ‘multi-view’ column retrieval followed by row extraction, and (2) adaptive reasoning that adapts reasoning strategies based on question types, utilizing semantic reasoning for direct lookup and complex lexical queries while augmenting textual reasoning with symbolic reasoning support for quantitative and logical tasks. Our extensive..."
data,InfoSync: Synchronizing Information Across Tables,https://arxiv.org/abs/2401.12345,https://github.com/Info-Sync/InfoSync,,,InfoSync.png,Sidharth Khincha; Chelsi Jain; Vivek Gupta; Tushar Kataria; Shuo Zhang,ACL 2023,https://2023.aclweb.org/,Multilingual table synchronization dataset spanning ~99k infoboxes across 14 languages for alignment and update tasks.
data,InfoTab: A Benchmark for Table-based Information Extraction,https://arxiv.org/abs/2104.08320,https://github.com/infotabs/infotabs,,,InfoTab.png,Vivek Gupta; Maitrey Mehta; Pegah Nokhiz; Vivek Srikumar,ACL 2020,https://acl2020.org/,"Dataset of 23,738 entailment pairs grounded in Wikipedia infoboxes for table-based NLI."
data,InterChart: Benchmarking Visual Reasoning Across Decomposed and Distributed Chart Information,https://arxiv.org/pdf/2508.07630,https://huggingface.co/datasets/interchart/Interchart,https://github.com/CoRAL-ASU/interchart,,poster_docs/interchart_poster.png,"Anirudh Iyengar Kaniyar Narayana Iyengar, Srija Mukhopadhyay, Adnan Qidwai, Shubhankar Singh, Dan Roth, Vivek Gupta",AACL 2025,https://2025.aaclnet.org/,"InterChart is a diagnostic benchmark for VLM reasoning across related charts with questions spanning entity inference, trend correlation, numerical estimation, and multi-step reasoning over 2–3 thematically linked charts across three difficulty tiers."
data,Knowledge-Aware Reasoning over Multimodal Semi-structured Tables,https://aclanthology.org/2024.findings-emnlp.822.pdf,https://github.com/MMTabQA/mmtabqa,https://github.com/MMTabQA/mmtabqa,,poster_docs/MMTabQA_poster.png,"Suyash Vardhan Mathur, Jainit Sushil Bafna, Kunal Kartik, Harshita Khandelwal, Manish Shrivastava, Vivek Gupta, Mohit Bansal, Dan Roth",EMNLP 2024,https://2024.emnlp.org/,"Existing datasets for tabular question answer ing typically focus exclusively on text within cells. However, real-world data is inherently multimodal, often blending images such as symbols, faces, icons, patterns, and charts with textual content in tables. With the evo lution of AI models capable of multimodal reasoning, it is pertinent to assess their effi cacy in handling such structured data. This study investigates whether current AI models can perform knowledge-aware reasoning on multimodal structured data. We explore their ability to reason on tables that integrate both images and text, introducing MMTABQA, a new dataset designed for this purpose. Our experiments..."
data,Leveraging LLM for Synchronizing Information Across Multilingual Tables,https://aclanthology.org/2025.naacl-long.329.pdf,,,,poster_docs/Infotabs_poster_placeholder.png,"Siddharth Khincha, Tushar Kataria, Ankita Anand, Dan Roth, Vivek Gupta",NAACL 2025,https://2025.naacl.org/,"The vast amount of online information today poses challenges for non-English speakers, as much of it is concentrated in high-resource languages such as English and French. Wikipedia reflects this imbalance, with content in low-resource languages frequently outdated or incomplete. Recent research has sought to improve cross-language synchronization of Wikipedia tables using rule-based methods. These approaches can be effective, but they struggle with complexity and generalization. This paper explores large language models (LLMs) for multilingual information synchronization, using zero-shot prompting as a scalable solution. We introduce the Information Updation dataset, simulating the real-world process of updating outdated Wikipedia tables, and evaluate LLM performance. Our findings..."
